realtime_start,value,date,realtime_end
2019-12-06,1299223,2013-07-01,2019-12-06
2019-12-06,1345790,2013-08-01,2019-12-06
2019-12-06,1291515,2013-09-01,2019-12-06
2019-12-06,1355695,2013-10-01,2019-12-06
2019-12-06,1297390,2013-11-01,2019-12-06
2019-12-06,1365666,2013-12-01,2019-12-06
2019-12-06,1225353,2014-01-01,2019-12-06
2019-12-06,1201463,2014-02-01,2019-12-06
2019-12-06,1362721,2014-03-01,2019-12-06
2019-12-06,1356229,2014-04-01,2019-12-06
2019-12-06,1395490,2014-05-01,2019-12-06
2019-12-06,1376786,2014-06-01,2019-12-06
2019-12-06,1361480,2014-07-01,2019-12-06
2019-12-06,1371342,2014-08-01,2019-12-06
2019-12-06,1362996,2014-09-01,2019-12-06
2019-12-06,1390493,2014-10-01,2019-12-06
2019-12-06,1289691,2014-11-01,2019-12-06
2019-12-06,1397135,2014-12-01,2019-12-06
2019-12-06,1188135,2015-01-01,2019-12-06
2019-12-06,1163047,2015-02-01,2019-12-06
2019-12-06,1337078,2015-03-01,2019-12-06
2019-12-06,1308449,2015-04-01,2019-12-06
2019-12-06,1320025,2015-05-01,2019-12-06
2019-12-06,1361341,2015-06-01,2019-12-06
2019-12-06,1311726,2015-07-01,2019-12-06
2019-12-06,1308315,2015-08-01,2019-12-06
2019-12-06,1310928,2015-09-01,2019-12-06
2019-12-06,1319501,2015-10-01,2019-12-06
2019-12-06,1256477,2015-11-01,2019-12-06
2019-12-06,1352427,2015-12-01,2019-12-06
2019-12-06,1132062,2016-01-01,2019-12-06
2019-12-06,1178195,2016-02-01,2019-12-06
2019-12-06,1328136,2016-03-01,2019-12-06
2019-12-06,1258874,2016-04-01,2019-12-06
2019-12-06,1303627,2016-05-01,2019-12-06
2019-12-06,1345375,2016-06-01,2019-12-06
2019-12-06,1244691,2016-07-01,2019-12-06
2019-12-06,1339544,2016-08-01,2019-12-06
2019-12-06,1311068,2016-09-01,2019-12-06
2019-12-06,1300221,2016-10-01,2019-12-06
2019-12-06,1299036,2016-11-01,2019-12-06
2019-12-06,1394124,2016-12-01,2019-12-06
2019-12-06,1212072,2017-01-01,2019-12-06
2019-12-06,1199428,2017-02-01,2019-12-06
2019-12-06,1395824,2017-03-01,2019-12-06
2019-12-06,1295177,2017-04-01,2019-12-06
2019-12-06,1388818,2017-05-01,2019-12-06
2019-12-06,1395219,2017-06-01,2019-12-06
2019-12-06,1295418,2017-07-01,2019-12-06
2019-12-06,1408702,2017-08-01,2019-12-06
2019-12-06,1366121,2017-09-01,2019-12-06
2019-12-06,1400605,2017-10-01,2019-12-06
2019-12-06,1402076,2017-11-01,2019-12-06
2019-12-06,1450248,2017-12-01,2019-12-06
2019-12-06,1301540,2018-01-01,2019-12-06
2019-12-06,1268131,2018-02-01,2019-12-06
2019-12-06,1465708,2018-03-01,2019-12-06
2019-12-06,1392168,2018-04-01,2019-12-06
2019-12-06,1510073,2018-05-01,2019-12-06
2019-12-06,1481626,2018-06-01,2019-12-06
2019-12-06,1418556,2018-07-01,2019-12-06
2019-12-06,1513695,2018-08-01,2019-12-06
2019-12-06,1425043,2018-09-01,2019-12-06
2019-12-06,1509212,2018-10-01,2019-12-06
2019-12-06,1457737,2018-11-01,2019-12-06
2019-12-06,1476316,2018-12-01,2019-12-06
2019-12-06,1339535,2019-01-01,2019-12-06
2019-12-06,1295651,2019-02-01,2019-12-06
2019-12-06,1481095,2019-03-01,2019-12-06
2019-12-06,1461158,2019-04-01,2019-12-06
2019-12-06,1527171,2019-05-01,2019-12-06
2019-12-06,1469759,2019-06-01,2019-12-06
2019-12-06,1461851,2019-07-01,2019-12-06
2019-12-06,1508278,2019-08-01,2019-12-06
2019-12-06,1446291,2019-09-01,2019-12-06
