realtime_start,value,date,realtime_end
2019-12-06,1219001,2011-09-01,2019-12-06
2019-12-06,1228870,2011-10-01,2019-12-06
2019-12-06,1230512,2011-11-01,2019-12-06
2019-12-06,1239452,2011-12-01,2019-12-06
2019-12-06,1251916,2012-01-01,2019-12-06
2019-12-06,1264992,2012-02-01,2019-12-06
2019-12-06,1268629,2012-03-01,2019-12-06
2019-12-06,1269881,2012-04-01,2019-12-06
2019-12-06,1262447,2012-05-01,2019-12-06
2019-12-06,1244830,2012-06-01,2019-12-06
2019-12-06,1247310,2012-07-01,2019-12-06
2019-12-06,1260268,2012-08-01,2019-12-06
2019-12-06,1275662,2012-09-01,2019-12-06
2019-12-06,1272154,2012-10-01,2019-12-06
2019-12-06,1284865,2012-11-01,2019-12-06
2019-12-06,1284656,2012-12-01,2019-12-06
2019-12-06,1292499,2013-01-01,2019-12-06
2019-12-06,1310795,2013-02-01,2019-12-06
2019-12-06,1292349,2013-03-01,2019-12-06
2019-12-06,1283982,2013-04-01,2019-12-06
2019-12-06,1298114,2013-05-01,2019-12-06
2019-12-06,1295577,2013-06-01,2019-12-06
2019-12-06,1296740,2013-07-01,2019-12-06
2019-12-06,1304926,2013-08-01,2019-12-06
2019-12-06,1304639,2013-09-01,2019-12-06
2019-12-06,1310939,2013-10-01,2019-12-06
2019-12-06,1323965,2013-11-01,2019-12-06
2019-12-06,1321181,2013-12-01,2019-12-06
2019-12-06,1310952,2014-01-01,2019-12-06
2019-12-06,1326475,2014-02-01,2019-12-06
2019-12-06,1337656,2014-03-01,2019-12-06
2019-12-06,1345610,2014-04-01,2019-12-06
2019-12-06,1347437,2014-05-01,2019-12-06
2019-12-06,1348498,2014-06-01,2019-12-06
2019-12-06,1355313,2014-07-01,2019-12-06
2019-12-06,1355510,2014-08-01,2019-12-06
2019-12-06,1350018,2014-09-01,2019-12-06
2019-12-06,1342429,2014-10-01,2019-12-06
2019-12-06,1336018,2014-11-01,2019-12-06
2019-12-06,1321940,2014-12-01,2019-12-06
2019-12-06,1293027,2015-01-01,2019-12-06
2019-12-06,1286857,2015-02-01,2019-12-06
2019-12-06,1296625,2015-03-01,2019-12-06
2019-12-06,1300812,2015-04-01,2019-12-06
2019-12-06,1302660,2015-05-01,2019-12-06
2019-12-06,1307987,2015-06-01,2019-12-06
2019-12-06,1307956,2015-07-01,2019-12-06
2019-12-06,1297937,2015-08-01,2019-12-06
2019-12-06,1294016,2015-09-01,2019-12-06
2019-12-06,1288738,2015-10-01,2019-12-06
2019-12-06,1281954,2015-11-01,2019-12-06
2019-12-06,1268581,2015-12-01,2019-12-06
2019-12-06,1261683,2016-01-01,2019-12-06
2019-12-06,1259509,2016-02-01,2019-12-06
2019-12-06,1265444,2016-03-01,2019-12-06
2019-12-06,1270472,2016-04-01,2019-12-06
2019-12-06,1271914,2016-05-01,2019-12-06
2019-12-06,1289122,2016-06-01,2019-12-06
2019-12-06,1284261,2016-07-01,2019-12-06
2019-12-06,1286809,2016-08-01,2019-12-06
2019-12-06,1291154,2016-09-01,2019-12-06
2019-12-06,1297083,2016-10-01,2019-12-06
2019-12-06,1296890,2016-11-01,2019-12-06
2019-12-06,1324274,2016-12-01,2019-12-06
2019-12-06,1333068,2017-01-01,2019-12-06
2019-12-06,1333621,2017-02-01,2019-12-06
2019-12-06,1333987,2017-03-01,2019-12-06
2019-12-06,1333435,2017-04-01,2019-12-06
2019-12-06,1329747,2017-05-01,2019-12-06
2019-12-06,1335859,2017-06-01,2019-12-06
2019-12-06,1337461,2017-07-01,2019-12-06
2019-12-06,1348937,2017-08-01,2019-12-06
2019-12-06,1365909,2017-09-01,2019-12-06
2019-12-06,1376088,2017-10-01,2019-12-06
2019-12-06,1396672,2017-11-01,2019-12-06
2019-12-06,1406875,2017-12-01,2019-12-06
2019-12-06,1405006,2018-01-01,2019-12-06
2019-12-06,1411196,2018-02-01,2019-12-06
2019-12-06,1415738,2018-03-01,2019-12-06
2019-12-06,1419942,2018-04-01,2019-12-06
2019-12-06,1440273,2018-05-01,2019-12-06
2019-12-06,1441800,2018-06-01,2019-12-06
2019-12-06,1444499,2018-07-01,2019-12-06
2019-12-06,1448482,2018-08-01,2019-12-06
2019-12-06,1451908,2018-09-01,2019-12-06
2019-12-06,1455474,2018-10-01,2019-12-06
2019-12-06,1449943,2018-11-01,2019-12-06
2019-12-06,1435157,2018-12-01,2019-12-06
2019-12-06,1443911,2019-01-01,2019-12-06
2019-12-06,1444010,2019-02-01,2019-12-06
2019-12-06,1462677,2019-03-01,2019-12-06
2019-12-06,1459042,2019-04-01,2019-12-06
2019-12-06,1458214,2019-05-01,2019-12-06
2019-12-06,1458631,2019-06-01,2019-12-06
2019-12-06,1461641,2019-07-01,2019-12-06
2019-12-06,1462583,2019-08-01,2019-12-06
2019-12-06,1459352,2019-09-01,2019-12-06
